Family,Taxon,FemState,FemState.bin,FemState.N,Countries,Other_division,Sources
Coenagrionidae,Ischnura_pumilio,FP,P,D,"AFG,ALB,AND,ARM,AUT,AZE,BEL,BIH,BLR,BGR,CHE,CYP,CZE,DEU,DNK,ESP,EST,FIN,FRA,GBR,GRC,HRV,HUN,IRL,IRN,ISR,ITA,JOR,KAZ,KGZ,LBN,LIE,LTU,LUX,LVA,MAR,MDA,MKD,MNE,MNG,NLD,NOR,POL,PRT,ROU,SRB,SVK,SVN,SWE,SYR,TJK,TKM,TUN,TUR,UKR,UZB","Nei Mongol,Shanxi,Kurgan,Sverdlovsk,Tyumen',Khanty-Mansiy,Chelyabinsk,Yamal-Nenets,Belgorod,Bryansk,Vladimir,Voronezh,Ivanovo,Kaluga,Kostroma,Kursk,Lipetsk,Moscow City,Moskva,Orel,Ryazan',Smolensk,Tambov,Tver',Tula,Yaroslavl',Arkhangel'sk,Vologda,Kaliningrad,Karelia,Komi,Leningrad,Murmansk,Nenets,Novgorod,Pskov,City of St. Petersburg,Bashkortostan,Kirov,Mariy-El,Mordovia,Nizhegorod,Orenburg,Penza,Perm',Samara,Saratov,Tatarstan,Udmurt,Ul'yanovsk,Chuvash,Adygey,Astrakhan',Volgograd,Kalmyk,Krasnodar,Rostov,Dagestan,Ingush,Kabardin-Balkar,Karachay-Cherkess,North Ossetia,Stavropol',Chechnya","Dijkstra & Lewington (2006), IUCN (2017)"
Coenagrionidae,Ischnura_ramburii,FP,P,D,"BHS,BLZ,BRA,CHL,COL,CRI,CUB,CYM,DOM,ECU,SLV,GLP,GTM,GUF,HND,HTI,JAM,MEX,MTQ,NIC,PAN,PER,PRI,PRY,SUR,TTO,VEN","Alabama,Arkansas,Arizona,Connecticut,Delaware,Florida,Georgia,Illinois,Kentucky,Louisiana,Massachusetts,District of Columbia,Maine,Missouri,Mississippi,North Carolina,New Jersey,New York,Oklahoma,Pennsylvania,Rhode Island,South Carolina,Texas,Virginia",IUCN (2017)
Coenagrionidae,Ischnura_rufostigma,FP,P,D,"BGD,HKG,LAO,MMR,NPL,THA,VNM","Assam,Bihar,Guangdong,Guizhou,Himachal Pradesh,Hunan,Madhya Pradesh,Manipur,Meghalaya,Nagaland,Sichuan,Uttarakhand,West Bengal,Yunnan","IUCN (2017), Sanmartin-Villlar et al. (2016)"
Coenagrionidae,Ischnura_saharensis,FP,P,T,"DZA,LBY,MAR,MRT,NER,TUN",,IUCN (2017)
Coenagrionidae,Ischnura_senegalensis,FP,P,D,"AFG,AGO,ARE,BEN,BFA,BGD,BRN,BWA,CMR,COD,CPV,DJI,EGY,ESH,GAB,GHA,GMB,GNB,GNQ,HKG,IDN,IND,IRN,IRQ,ISR,JOR,JPN,KEN,KHM,LAO,LBR,LBY,LKA,LSO,MAC,MDG,MLI,MMR,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,OMN,PAK,PHL,PLW,PNG,PSE,REU,RWA,SAU,SDN,SEN,SGP,SLE,SOM,SSD,SWZ,SYC,TCD,TGO,THA,TKM,TLS,TWN,TZA,UGA,UZB,VNM,YEM,ZAF,ZMB,ZWE",Nei Mongol,IUCN (2017)
Coenagrionidae,Ischnura_taitensis,MA,M,M,PYF,,Muséum national d’Histoire naturelle (2017)
Coenagrionidae,Ischnura_ultima,FP,P,D,"ARG,CHL",,Heckman (2008)
Coenagrionidae,Ischnura_verticalis,FP,P,D,,"New Brunswick,Newfoundland and Labrador,Nova Scotia,Ontario,Québec,Arkansas,Colorado,Connecticut,Delaware,Georgia,Iowa,Illinois,Indiana,Kansas,Kentucky,Massachusetts,District of Columbia,Maine,Michigan,Minnesota,Missouri,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,New York,Ohio,Oklahoma,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Virginia,Vermont,Wisconsin,West Virginia,Wyoming","Paulson (2009), Paulson (2011)"
Coenagrionidae,Amorphostigma_armstrongi,MH,M,M,"ASM,WSM",,NZAC
Coenagrionidae,Amorphostigma_sp.,MH,M,M,ASM,,NZAC
Coenagrionidae,Pacificagrion_lachrymosa,MH,M,M,ASM,,NZAC
Coenagrionidae,Pacificagrion_sp.,MH,M,M,ASM,,NZAC
